text,label
I feel so anxious and exhausted,stress
I am very happy and calm today,no_stress
I have too many deadlines and I can't sleep,stress
Reading a book makes me feel relaxed,no_stress
My chest feels heavy and I am worried,stress
I had a wonderful time with my friends,no_stress
I feel hopeless and tired all the time,stress
The weather is nice and I feel great,no_stress
I am panicking about the future,stress
I achieved my goals and feel proud,no_stress
I am not feeling good at all,stress
This is not good,stress
I am not happy,stress
I have no hope left,stress
Everything is going wrong,stress
I am stressing out completely,stress
It stresses me out when people shout,stress
My mind is full of bad thoughts,stress
I feel fantastic and energetic,no_stress
Life is good and I am content,no_stress
I am not stressed at all,no_stress
I have no worries today,no_stress
I am feeling bad and low,stress
I feel depressed and lonely,stress
Wow this is amazing,no_stress
I feel bad and worse,stress